# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
15S_RRNA	Q0020	Q0020_rRNA	rRNA	0	0	0	24	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	13
21S_RRNA	Q0158	Q0158_rRNA	rRNA	0	0	0	32	0	0	0	0	10	0	2	0	6	0	0	0	0	0	0	0	14
AAC1	YMR056C	YMR056C_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	3	2	65	0	0	0	0	36	0	0	2	0	0	0	0	0	0	0	3	29
AAD10	YJR155W	YJR155W_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	20
AAD15	YOL165C	YOL165C_mRNA	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAD3	YCR107W	YCR107W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAD4	YDL243C	YDL243C_mRNA	protein_coding	0	4	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	63	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	47
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
AAP1	YHR047C	YHR047C_mRNA	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AAR2	YBL074C	YBL074C_mRNA	protein_coding	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
AAT1	YKL106W	YKL106W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAT2	YLR027C	YLR027C_mRNA	protein_coding	1	4	3	57	0	0	0	0	23	1	0	3	0	0	0	0	0	0	0	4	34
ABD1	YBR236C	YBR236C_mRNA	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
ABF1	YKL112W	YKL112W_mRNA	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABF2	YMR072W	YMR072W_mRNA	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ABM1	YJR108W	YJR108W_mRNA	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3
ABP1	YCR088W	YCR088W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABP140	YOR239W	YOR239W_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	1	13	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	5
ABZ2	YMR289W	YMR289W_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACA1	YER045C	YER045C_mRNA	protein_coding	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	19	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	5
ACC1	YNR016C	YNR016C_mRNA	protein_coding	0	0	2	7	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	3
ACE2	YLR131C	YLR131C_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACF2	YLR144C	YLR144C_mRNA	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
ACF4	YJR083C	YJR083C_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	5	0	99	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	5	48
ACL4	YDR161W	YDR161W_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	1	13	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	5
ACO1	YLR304C	YLR304C_mRNA	protein_coding	1	6	0	36	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	6	27
ACO2	YJL200C	YJL200C_mRNA	protein_coding	1	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
